mapping_key,source_system,service_category_original,service_category_standardized
barcelona_iris|Recollida i neteja de l'espai urbà,barcelona_iris,Recollida i neteja de l'espai urbà,Sanitation / Cleaning / Waste
barcelona_iris|Manteniment de l'espai urbà,barcelona_iris,Manteniment de l'espai urbà,Public Space Maintenance
barcelona_iris|Portal de tràmits,barcelona_iris,Portal de tràmits,Administrative / Information / Digital Services
barcelona_iris|Mobilitat,barcelona_iris,Mobilitat,Mobility / Parking / Traffic
barcelona_iris|Gestions municipals,barcelona_iris,Gestions municipals,Administrative / Information / Digital Services
barcelona_iris|Prevenció i seguretat,barcelona_iris,Prevenció i seguretat,Public Safety / Police
barcelona_iris|Serveis socials,barcelona_iris,Serveis socials,Social Services / Homelessness
barcelona_iris|Informació  tràmits i atenció ciutadana,barcelona_iris,Informació  tràmits i atenció ciutadana,Administrative / Information / Digital Services
barcelona_iris|Urbanisme,barcelona_iris,Urbanisme,Housing / Buildings / Urban Planning
barcelona_iris|Sanitat i salut pública,barcelona_iris,Sanitat i salut pública,Public Health / Pests
barcelona_iris|Oci / lleure,barcelona_iris,Oci / lleure,Culture / Leisure / Sports
barcelona_iris|Cultura,barcelona_iris,Cultura,Culture / Leisure / Sports
barcelona_iris|Transports públics,barcelona_iris,Transports públics,Mobility / Parking / Traffic
barcelona_iris|Nadal,barcelona_iris,Nadal,Culture / Leisure / Sports
barcelona_iris|Hisenda,barcelona_iris,Hisenda,Tax / Finance
barcelona_iris|Esports,barcelona_iris,Esports,Culture / Leisure / Sports
barcelona_iris|Consultes web,barcelona_iris,Consultes web,Administrative / Information / Digital Services
barcelona_iris|Medi ambient,barcelona_iris,Medi ambient,Parks / Trees / Environment
barcelona_iris|Agraïments,barcelona_iris,Agraïments,Administrative / Information / Digital Services
barcelona_iris|Promoció econòmica  comerç i mercats,barcelona_iris,Promoció econòmica  comerç i mercats,Economic Development / Commerce
barcelona_iris|Educació,barcelona_iris,Educació,Education
barcelona_iris|Dades de la ciutat,barcelona_iris,Dades de la ciutat,Administrative / Information / Digital Services
barcelona_iris|Habitatge,barcelona_iris,Habitatge,Housing / Buildings / Urban Planning
barcelona_iris|Civisme,barcelona_iris,Civisme,Public Safety / Police
barcelona_iris|Feminismes / Dones i LGTBI,barcelona_iris,Feminismes / Dones i LGTBI,Equality / Inclusion
barcelona_iris|Participació,barcelona_iris,Participació,Civic Participation / Governance
barcelona_iris|Govern Obert,barcelona_iris,Govern Obert,Civic Participation / Governance
nyc_311|Noise - Residential,nyc_311,Noise - Residential,Noise
nyc_311|Noise - Street/Sidewalk,nyc_311,Noise - Street/Sidewalk,Noise
nyc_311|Noise - Commercial,nyc_311,Noise - Commercial,Noise
nyc_311|Noise - Vehicle,nyc_311,Noise - Vehicle,Noise
nyc_311|Noise - Helicopter,nyc_311,Noise - Helicopter,Noise
nyc_311|Noise - Park,nyc_311,Noise - Park,Noise
nyc_311|Noise,nyc_311,Noise,Noise
nyc_311|Illegal Parking,nyc_311,Illegal Parking,Mobility / Parking / Traffic
nyc_311|Blocked Driveway,nyc_311,Blocked Driveway,Mobility / Parking / Traffic
nyc_311|Abandoned Vehicle,nyc_311,Abandoned Vehicle,Mobility / Parking / Traffic
nyc_311|Traffic Signal Condition,nyc_311,Traffic Signal Condition,Mobility / Parking / Traffic
nyc_311|Taxi Complaint,nyc_311,Taxi Complaint,Mobility / Parking / Traffic
nyc_311|For Hire Vehicle Complaint,nyc_311,For Hire Vehicle Complaint,Mobility / Parking / Traffic
nyc_311|Street Condition,nyc_311,Street Condition,Public Space Maintenance
nyc_311|Sidewalk Condition,nyc_311,Sidewalk Condition,Public Space Maintenance
nyc_311|Curb Condition,nyc_311,Curb Condition,Public Space Maintenance
nyc_311|Obstruction,nyc_311,Obstruction,Public Space Maintenance
nyc_311|Maintenance or Facility,nyc_311,Maintenance or Facility,Parks / Trees / Environment
nyc_311|Damaged Tree,nyc_311,Damaged Tree,Parks / Trees / Environment
nyc_311|Overgrown Tree/Branches,nyc_311,Overgrown Tree/Branches,Parks / Trees / Environment
nyc_311|Dead/Dying Tree,nyc_311,Dead/Dying Tree,Parks / Trees / Environment
nyc_311|Illegal Tree Damage,nyc_311,Illegal Tree Damage,Parks / Trees / Environment
nyc_311|Violation of Park Rules,nyc_311,Violation of Park Rules,Parks / Trees / Environment
nyc_311|UNSANITARY CONDITION,nyc_311,UNSANITARY CONDITION,Housing / Buildings / Urban Planning
nyc_311|HEAT/HOT WATER,nyc_311,HEAT/HOT WATER,Housing / Buildings / Urban Planning
nyc_311|PLUMBING,nyc_311,PLUMBING,Housing / Buildings / Urban Planning
